,3P,3PA,3PPct,AST,BLK,Date,FG,FGA,FGPct,FT,FTA,FTPct,ORB,Opp,Opp3P,Opp3PA,Opp3PPct,OppAST,OppBLK,OppFG,OppFGA,OppFGPct,OppFT,OppFTA,OppFTPct,OppORB,OppPF,OppPts,OppSTL,OppTOV,OppTRB,PF,Result,STL,Season,TOV,TRB,Team,TmPts,loc,OppLC
101428,8.0,20.0,0.4,12.0,6.0,2019-11-08,25.0,65.0,0.385,13.0,18.0,0.722,5.0,Colorado,6.0,16.0,0.375,12.0,3.0,30.0,65.0,0.462,15.0,25.0,0.6,10.0,14.0,81.0,6.0,18.0,45.0,24.0,L,10.0,2020,16.0,33.0,arizona-state,71.0,N,colorado
101429,7.0,27.0,0.259,19.0,5.0,2019-11-14,29.0,65.0,0.446,25.0,33.0,0.758,12.0,Central Connecticut,4.0,17.0,0.235,9.0,5.0,17.0,57.0,0.298,11.0,21.0,0.524,10.0,28.0,49.0,6.0,23.0,33.0,18.0,W,14.0,2020,11.0,43.0,arizona-state,90.0,,central-connecticut-state
101430,10.0,32.0,0.313,15.0,6.0,2019-11-17,35.0,82.0,0.4270000000000001,12.0,20.0,0.6,13.0,Rider,3.0,21.0,0.14300000000000002,10.0,3.0,23.0,60.0,0.38299999999999995,6.0,14.0,0.429,9.0,22.0,55.0,7.0,29.0,40.0,18.0,W,16.0,2020,7.0,39.0,arizona-state,92.0,,rider
101431,5.0,19.0,0.263,9.0,4.0,2019-11-23,28.0,61.0,0.45899999999999996,19.0,26.0,0.731,9.0,St. John's (NY),3.0,16.0,0.188,9.0,4.0,25.0,66.0,0.379,14.0,22.0,0.636,13.0,21.0,67.0,4.0,15.0,36.0,19.0,W,6.0,2020,13.0,36.0,arizona-state,80.0,N,st-johns-ny
101432,5.0,19.0,0.263,7.0,2.0,2019-11-24,17.0,42.0,0.405,6.0,10.0,0.6,3.0,Virginia,5.0,16.0,0.313,6.0,5.0,18.0,49.0,0.3670000000000001,7.0,7.0,1.0,7.0,13.0,48.0,4.0,13.0,27.0,13.0,L,8.0,2020,13.0,21.0,arizona-state,45.0,N,virginia
101433,8.0,16.0,0.5,10.0,1.0,2019-11-26,24.0,53.0,0.45299999999999996,11.0,17.0,0.647,3.0,Princeton,7.0,26.0,0.26899999999999996,13.0,3.0,27.0,57.0,0.474,4.0,9.0,0.444,7.0,17.0,65.0,3.0,11.0,34.0,15.0,W,5.0,2020,8.0,26.0,arizona-state,67.0,@,princeton
101434,5.0,12.0,0.41700000000000004,9.0,2.0,2019-12-03,26.0,62.0,0.419,14.0,19.0,0.737,8.0,San Francisco,8.0,28.0,0.28600000000000003,5.0,6.0,24.0,66.0,0.364,11.0,16.0,0.688,11.0,17.0,67.0,7.0,10.0,41.0,16.0,W,7.0,2020,12.0,40.0,arizona-state,71.0,@,san-francisco
101435,6.0,26.0,0.231,13.0,1.0,2019-12-07,28.0,67.0,0.418,15.0,22.0,0.682,16.0,Louisiana,8.0,24.0,0.33299999999999996,7.0,3.0,21.0,49.0,0.429,15.0,20.0,0.75,5.0,20.0,65.0,4.0,20.0,34.0,18.0,W,10.0,2020,12.0,39.0,arizona-state,77.0,,louisiana-lafayette
101436,5.0,17.0,0.294,9.0,4.0,2019-12-11,23.0,51.0,0.451,37.0,51.0,0.725,8.0,Prairie View,8.0,16.0,0.5,16.0,3.0,25.0,58.0,0.431,21.0,33.0,0.636,12.0,31.0,79.0,6.0,20.0,34.0,25.0,W,8.0,2020,13.0,32.0,arizona-state,88.0,,prairie-view
101437,6.0,25.0,0.24,12.0,1.0,2019-12-14,33.0,67.0,0.493,7.0,16.0,0.43799999999999994,10.0,Georgia,2.0,24.0,0.083,12.0,1.0,23.0,66.0,0.348,11.0,20.0,0.55,13.0,20.0,59.0,11.0,19.0,39.0,18.0,W,9.0,2020,17.0,40.0,arizona-state,79.0,,georgia
101438,3.0,22.0,0.136,4.0,3.0,2019-12-18,23.0,64.0,0.359,7.0,8.0,0.875,9.0,Saint Mary's,16.0,26.0,0.615,19.0,3.0,34.0,57.0,0.596,12.0,17.0,0.706,4.0,16.0,96.0,10.0,9.0,33.0,20.0,L,5.0,2020,15.0,31.0,arizona-state,56.0,N,saint-marys-ca
101439,7.0,26.0,0.26899999999999996,11.0,3.0,2019-12-21,23.0,65.0,0.354,7.0,10.0,0.7,9.0,Creighton,7.0,24.0,0.292,15.0,4.0,27.0,61.0,0.44299999999999995,6.0,8.0,0.75,7.0,15.0,67.0,2.0,11.0,38.0,14.0,L,5.0,2020,10.0,33.0,arizona-state,60.0,,creighton
